count,deep,Source,Target,Weight
1490,356,9988064,9987992,-5
1491,357,9987848,9987992,9
1492,358,9988184,9987992,-12
1493,359,9988184,9987872,-20
1494,360,9987872,9987872,0
1495,360,9987992,9987992,0
1496,355,9988016,9980672,-459
1497,356,9988016,9980480,-471
1498,357,9988016,9980168,-491
1499,358,9988088,9980168,-495
1500,359,9988088,9988136,3
1501,360,9988112,9988136,1
1502,361,9988136,9988136,0
1503,360,9980240,9980168,-5
1504,361,9980240,9980456,13
1505,362,9980600,9980456,-9
1506,363,9980600,9980096,-32
1507,364,9980408,9980096,-20
1508,365,9980840,9980096,-47
1509,366,9980096,9980096,0
1510,362,9980432,9980168,-17
1511,363,9980120,9980168,3
1512,364,9980144,9980168,1
1513,365,9980336,9980168,-11
1514,366,9980168,9980168,0
1515,359,9980696,9980672,-2
1516,360,9980696,9980360,-21
1517,361,9980768,9980360,-26
1518,362,9980528,9980360,-11
1519,363,9980528,9980648,7
1520,364,9980312,9980648,21
1521,365,9980720,9980648,-5
1522,366,9980648,9980648,0
1523,364,9980216,9980360,9
1524,365,9980288,9980360,4
1525,366,9980792,9980360,-27
1526,367,9980816,9980360,-29
1527,368,9980816,9980816,0
1528,362,9980384,9980672,18
1529,363,9980504,9980672,10
1530,364,9980552,9980672,7
1531,365,9980576,9980672,6
1532,366,9980672,9980672,0
1533,360,9981200,9981536,21
1534,361,9981368,9981536,10
1535,362,9981368,9981392,1
1536,363,9981008,9981392,24
1537,364,9981128,9981392,16
1538,365,9981392,9981392,0
1539,363,9981248,9981536,18
1540,364,9981536,9981536,0
1541,361,9981272,9989832,535
1542,362,9981272,9989232,497
1543,363,9981272,9984200,183
1544,364,9981272,9982712,90
1545,365,9981272,9981944,42
1546,366,9981272,9981440,10
1547,367,9980936,9981440,31
1548,368,9981296,9981440,9
1549,369,9981440,9981440,0
1550,367,9980960,9981944,61
1551,368,9980960,9981632,42
1552,369,9980960,9981488,33
1553,370,9980960,9981584,39
1554,371,9981032,9981584,34
1555,372,9981104,9981584,30
1556,373,9980984,9981584,37
1557,374,9981080,9981584,31
1558,375,9981584,9981584,0
1559,371,9981320,9981488,10
1560,372,9980864,9981488,39
1561,373,9981176,9981488,19
1562,374,9981344,9981488,9
1563,375,9981488,9981488,0
1564,371,9981608,9981632,1
1565,372,9981608,9982064,28
1566,373,9981608,9981512,-6
1567,374,9981056,9981512,28
1568,375,9981512,9981512,0
1569,374,9982064,9982064,0
1570,374,9982328,9981632,-44
1571,375,9981800,9981632,-11
1572,376,9981632,9981632,0
1573,373,9981968,9981944,-2
1574,374,9981968,9981896,-5
